SD_NM,SD_CD,SGG_NM,SGG_CD,beta,beta_L,beta_U,2012_1,2012_2,2012_3,2012_4,2012_5,2012_6,2012_7,2012_8,2012_9,2012_10,2012_11,2012_12,2013_1,2013_2,2013_3,2013_4,2013_5,2013_6,2013_7,2013_8,2013_9,2013_10,2013_11,2013_12,2014_1,2014_2,2014_3,2014_4,2014_5,2014_6,2014_7,2014_8,2014_9,2014_10,2014_11,2014_12,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,1mth_avg,2mth_avg,3mth_avg,4mth_avg,5mth_avg,6mth_avg,7mth_avg,8mth_avg,9mth_avg,10mth_avg,11mth_avg,12mth_avg
경상북도,,칠곡군,,0.00281,0.00162,0.00397,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0
경상북도,,예천군,,0.00083,-0.00065,0.00235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상북도,,봉화군,,-0.00054,-0.0026,0.00154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상북도,,울진군,,0.00649,0.00413,0.00883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상남도,,진주시,,0.0018,0.00096,0.00264,4,4,4,3,4,3,2,1,2,3,4,4,6,4,5,3,5,4,2,3,2,3,3,4,4,3,2,2,4,2,1,1,2,2,2,2,4,5,1,1,3,3,2,2,2,3,2,2,4,4,3,2,4,3,1,1,2,2,2,3
경상남도,,통영시,,0.00585,0.00424,0.0075,2,2,2,1,2,1,0,0,1,1,1,1,2,2,2,1,2,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
경상남도,,사천시,,0.00255,0.00131,0.00377,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
경상남도,,김해시,,0.00518,0.00438,0.00597,16,17,15,15,17,9,10,5,11,11,16,17,22,16,21,14,19,15,9,13,9,10,13,16,19,12,8,6,8,6,6,1,5,5,7,5,15,19,5,4,15,12,5,7,5,9,6,7,18,16,12,9,14,10,7,6,7,8,10,11
경상남도,,밀양시,,0.00395,0.00282,0.0051,1,2,1,1,2,1,1,0,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,2,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0
경상남도,,거제시,,0.009,0.0075,0.01054,4,4,4,4,5,2,2,1,3,3,4,4,6,5,6,3,5,4,2,3,2,3,3,4,3,2,1,1,2,1,1,0,1,1,1,0,3,5,1,1,3,3,1,1,1,2,1,1,4,4,3,2,3,2,1,1,1,2,2,2
